,doc,sentence,statement,ARG0_highdim,ARG0_lowdim,B-V_highdim,B-V_lowdim,B-ARGM-NEG_highdim,B-ARGM-NEG_lowdim,B-ARGM-MOD_highdim,ARG1_highdim,ARG1_lowdim,ARG2_highdim,ARG2_lowdim,B-V_lowdim_with_neg,B-V_highdim_with_neg,narrative_highdim,narrative_lowdim
1,98454970654916608,0,1,republican democrat,republican,create,create,,,,economic problem,economy,,,not_create,not_create,republican democrat not_create economic problem,republican not_create economy
6,1234653427789070336,1,6,hardworking american patriot,american,love,know,,,,country,country,,,not_know,not_love,hardworking american patriot not_love country,american not_love country
7,1234653427789070336,1,7,hardworking american patriot,american,cherish,cherish,,,,value,million,,,not_cherish,not_cherish,hardworking american patriot not_cherish value,american not_cherish million
8,1234653427789070336,1,8,hardworking american patriot,american,respect,honor,,,,law,law,,,not_honor,not_respect,hardworking american patriot not_respect law,american not_respect law
9,1234653427789070336,1,9,hardworking american patriot,american,,,,,,america,america,,,not_,not_,hardworking american patriot not_ america,american not_ america
13,1304875170860015617,4,13,recent election,people,use,use,,,,system,system,,,not_use,not_use,recent election not_use system,people not_use system
41,1319683876046934016,17,41,sudan,kurd,agree,agree,,,,peace normalization agreement israel,israel,,,not_agree,not_agree,sudan not_agree peace normalization agreement israel,kurd not_agree israel
58,1325891490636320768,24,58,wisconsin,wisconsin,look,look,,,,good,thing,,,not_look,not_look,wisconsin not_look good,wisconsin not_look thing
85,1346110956078817280,39,85,sentomcotton republican,republican,,,,,,plus amp minus,interest,,,not_,not_,sentomcotton republican not_ plus amp minus,republican not_ interest
108,1317063921375842305,49,108,poll number,election,look,look,,,,strong,economy,,,not_look,not_look,poll number not_look strong,election not_look economy
133,1328328547598000130,68,133,dominion,president xi,run,work,,,,election,election,,,not_work,not_run,dominion not_run election,president xi not_run election
140,1320162252868255745,74,140,biden,biden,,,,,,terrible thing,disaster,,,not_,not_,biden not_ terrible thing,biden not_ disaster
150,1325961445062938625,81,150,pfizer,company,announce,announce,,,,vaccine,ebola,,,not_announce,not_announce,pfizer not_announce vaccine,company not_announce ebola
161,1325961115352838145,85,161,poll,election,,,,,,point,advantage,,,not_,not_,poll not_ point,election not_ advantage
190,1325961672343875585,94,190,bureaucracy,corrupt,destroyed,destroy,,,,million life,million,,,not_destroy,not_destroyed,bureaucracy not_destroyed million life,corrupt not_destroyed million
192,1325962203346972678,95,192,usfda democrat,democrat,want,want,True,True,,vaccine win prior election,win,,,want,want,usfda democrat want vaccine win prior election,democrat want win
193,1325962203346972678,95,193,usfda democrat,democrat,,,,,,vaccine win prior election,win,,,not_,not_,usfda democrat not_ vaccine win prior election,democrat not_ win
208,1328341927641681922,100,208,great discovery,great,end,stop,,,,china plague,china,,,not_stop,not_end,great discovery not_end china plague,great not_end china
225,1346488314157797389,110,225,vice president,president,,,,,,power reject fraudulently chosen elector,jeb,,,not_,not_,vice president not_ power reject fraudulently chosen elector,president not_ jeb
